NDVI,date
0.1348,2000-02-19
0.12940000000000002,2000-03-06
0.1361,2000-03-22
0.1399,2000-04-07
0.1369,2000-04-23
0.1345,2000-05-09
0.11800000000000001,2000-05-25
0.1282,2000-06-10
0.11710000000000001,2000-06-26
0.21490000000000004,2000-07-12
0.2756,2000-07-28
0.5366000000000001,2000-08-13
0.5109,2000-08-29
0.26780000000000004,2000-09-14
0.2721,2000-09-30
0.2775,2000-10-16
0.2214,2000-11-01
0.2727,2000-11-17
0.21640000000000004,2000-12-03
0.17900000000000002,2000-12-19
0.1651,2001-01-02
0.15460000000000002,2001-01-18
0.1454,2001-02-03
0.1489,2001-02-19
0.24580000000000002,2001-03-07
0.37040000000000006,2001-03-23
0.2609,2001-04-08
0.17690000000000003,2001-04-24
0.17990000000000003,2001-05-10
0.13240000000000002,2001-05-26
0.1346,2001-06-11
0.138,2001-06-27
0.1356,2001-07-13
0.24960000000000002,2001-07-29
0.4854,2001-08-14
0.32460000000000006,2001-08-30
0.19090000000000001,2001-09-15
0.1652,2001-10-01
0.15780000000000002,2001-10-17
0.1539,2001-11-02
0.1391,2001-11-18
0.15130000000000002,2001-12-04
0.1489,2001-12-20
0.22710000000000005,2002-01-02
0.23420000000000002,2002-01-18
0.20420000000000005,2002-02-03
0.17950000000000002,2002-02-19
0.16250000000000003,2002-03-07
0.134,2002-03-23
0.13520000000000001,2002-04-08
0.1572,2002-04-24
0.1374,2002-05-10
0.1477,2002-05-26
0.1333,2002-06-11
0.1343,2002-06-27
0.1267,2002-07-13
0.3254,2002-07-29
0.32460000000000006,2002-08-14
0.3804,2002-08-30
0.17990000000000003,2002-09-15
0.1724,2002-10-01
0.1572,2002-10-17
0.15,2002-11-02
0.1494,2002-11-18
0.1432,2002-12-04
0.16970000000000002,2002-12-20
0.16720000000000002,2003-01-02
0.1605,2003-01-18
0.1459,2003-02-03
0.1467,2003-02-19
0.152,2003-03-07
0.1428,2003-03-23
0.14020000000000002,2003-04-08
0.20450000000000002,2003-04-24
0.268,2003-05-10
0.1781,2003-05-26
0.1461,2003-06-11
0.1326,2003-06-27
0.1388,2003-07-13
0.17540000000000003,2003-07-29
0.3345000000000001,2003-08-14
0.34540000000000004,2003-08-30
0.23550000000000004,2003-09-15
0.193,2003-10-01
0.16090000000000004,2003-10-17
0.16780000000000003,2003-11-02
0.14350000000000002,2003-11-18
0.1991,2003-12-04
0.2859,2003-12-20
0.2,2004-01-02
0.2882,2004-01-18
0.1985,2004-02-03
0.16140000000000002,2004-02-19
0.1461,2004-03-06
0.17290000000000003,2004-03-22
0.16170000000000004,2004-04-07
0.2710000000000001,2004-04-23
0.18030000000000002,2004-05-09
0.15710000000000005,2004-05-25
0.15380000000000002,2004-06-10
0.15780000000000002,2004-06-26
0.17990000000000003,2004-07-12
0.1711,2004-07-28
0.26330000000000003,2004-08-13
0.2631,2004-08-29
0.2371,2004-09-14
0.21580000000000005,2004-09-30
0.16740000000000002,2004-10-16
0.1621,2004-11-01
0.14310000000000003,2004-11-17
0.1759,2004-12-03
0.1544,2004-12-19
0.1598,2005-01-02
0.15470000000000003,2005-01-18
0.1645,2005-02-03
0.1464,2005-02-19
0.15220000000000003,2005-03-07
0.17420000000000002,2005-03-23
0.1529,2005-04-08
0.15910000000000002,2005-04-24
0.1971,2005-05-10
0.16040000000000001,2005-05-26
0.14250000000000002,2005-06-11
0.1174,2005-06-27
0.21030000000000004,2005-07-13
0.32460000000000006,2005-07-29
0.26780000000000004,2005-08-14
0.2616,2005-08-30
0.21040000000000003,2005-09-15
0.163,2005-10-01
0.161,2005-10-17
0.1448,2005-11-02
0.14070000000000002,2005-11-18
0.1454,2005-12-04
0.1509,2005-12-20
0.1254,2006-01-02
0.1278,2006-01-18
0.1348,2006-02-03
0.1519,2006-02-19
0.1531,2006-03-07
0.16080000000000003,2006-03-23
0.25470000000000004,2006-04-08
0.231,2006-04-24
0.16380000000000003,2006-05-10
0.14300000000000002,2006-05-26
0.11510000000000002,2006-06-11
0.1453,2006-06-27
0.16230000000000003,2006-07-13
0.24350000000000002,2006-07-29
0.3884,2006-08-14
0.2773,2006-08-30
0.2214,2006-09-15
0.17900000000000002,2006-10-01
0.14750000000000002,2006-10-17
0.158,2006-11-02
0.1429,2006-11-18
0.24670000000000003,2006-12-04
0.19090000000000001,2006-12-20
0.1673,2007-01-02
0.16820000000000002,2007-01-18
0.184,2007-02-03
0.19240000000000002,2007-02-19
0.1399,2007-03-07
0.1386,2007-03-23
0.1962,2007-04-08
