,code,caption,description,additionalInfo,tags,workspaceCode,dataType,index,operation,hidden,links
2,L1_AETI_A,Actual EvapoTranspiration and Interception (Annual),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L1', 'index': 3, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 1, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 3, 'context': 'levels'}, {'name': 'C2', 'index': 1, 'context': 'categories'}]",WAPOR_2,RASTER,103,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_A'}]"
3,L1_AETI_M,Actual EvapoTranspiration and Interception (Monthly),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The monthy total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L1', 'index': 4, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 4, 'context': 'levels'}, {'name': 'C2', 'index': 2, 'context': 'categories'}]",WAPOR_2,RASTER,104,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_M'}]"
4,L1_AETI_D,Actual EvapoTranspiration and Interception (Dekadal),"The actual EvapoTranspiration and Interception (ETIa) (dekadal, in mm/day) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the average daily ETIa in a given dekad.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'The calculation of the ETIa is based on the ETLook model described in Bastiaanssen et al. (2012). See the methodology of the three components (E, T and I) for further information.'}","[{'name': 'L1', 'index': 5, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 3, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 5, 'context': 'levels'}, {'name': 'C2', 'index': 3, 'context': 'categories'}]",WAPOR_2,RASTER,105,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_D'}]"
16,L1_PCP_A,Precipitation (Annual),"Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the total of daily precipitation in the year expressed in mm (1mm=1l/m² or 1mm=10m³/ha).","{'format': 'Raster Dataset', 'unit': 'mm (1mm=1l/m² or 1mm=10m³/ha)', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': 'Approximately 5km (0.05 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See daily Precipitation (L1_PCP_E) for further information. The annual data is obtained by taking the daily PCP, summing the days of each year.'}","[{'name': 'L1', 'index': 16, 'context': 'LEVELS_LIST'}, {'name': 'CLIMATE', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 16, 'context': 'levels'}, {'name': 'C4', 'index': 2, 'context': 'categories'}]",WAPOR_2,RASTER,116,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_A'}]"
18,L1_PCP_M,Precipitation (Monthly),"Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the total of daily precipitation in the month expressed in mm (1mm=1l/m² or 1mm=10m³/ha).","{'format': 'Raster Dataset', 'unit': 'mm (1mm=1l/m² or 1mm=10m³/ha)', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': 'Approximately 5km (0.05 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See daily Precipitation (L1_PCP_E) for further information. The monthly data is obtained by taking the daily PCP, summing the days of each month.'}","[{'name': 'L1', 'index': 18, 'context': 'LEVELS_LIST'}, {'name': 'CLIMATE', 'index': 4, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 18, 'context': 'levels'}, {'name': 'C4', 'index': 4, 'context': 'categories'}]",WAPOR_2,RASTER,118,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_M'}]"
20,L1_PCP_D,Precipitation (Dekadal),"Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the average of daily precipitation in the dekad expressed in mm (1mm=1l/m² or 1mm=10m³/ha).","{'format': 'Raster Dataset', 'unit': 'mm (1mm=1l/m² or 1mm=10m³/ha)', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': 'Approximately 5km (0.05 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'See daily precipitation (L1_PCP_E) for further information. The dekadal average is obtained by taking the daily PCP, summing the days of each dekad, and dividing the total by the number of the days in the dekad.'}","[{'name': 'L1', 'index': 20, 'context': 'LEVELS_LIST'}, {'name': 'CLIMATE', 'index': 6, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 20, 'context': 'levels'}, {'name': 'C4', 'index': 6, 'context': 'categories'}]",WAPOR_2,RASTER,120,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_D'}]"
22,L1_PCP_E,Precipitation (Daily),"Precipitation data is delivered on a daily basis. The source of this dataset is CHIRPS (Climate Hazards Group InfraRed Precipitation with Station) quasi-global rainfall dataset, starting from 1981 up to near present. The value of each pixel represents the daily amount of precipitation expressed in mm (1mm=1l/m² or 1mm=10m³/ha). For details see http://chg.geog.ucsb.edu/data/chirps","{'format': 'Raster Dataset', 'unit': 'mm (1mm=1l/m² or 1mm=10m³/ha)', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': 'Approximately 5km (0.05 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Daily', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'Information on the methodology applied to produce CHIRPS data can be found at http://chg.geog.ucsb.edu/data/chirps.\\n\\nData component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/'}","[{'name': 'L1', 'index': 22, 'context': 'LEVELS_LIST'}, {'name': 'CLIMATE', 'index': 8, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 22, 'context': 'levels'}, {'name': 'C4', 'index': 8, 'context': 'categories'}]",WAPOR_2,RASTER,122,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_PCP_E'}]"
27,L2_AETI_A,Actual EvapoTranspiration and Interception (Annual),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '100m (0.000992 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.\n\nUntil December 2019 the base input layers (NDVI, albedo, and fAPAR) for the Level 2 (100m) products were derived from the Proba-V satellite. Proba-V was decommissioned in June 2020. From January 2020 onwards the base input layers of NDVI, albedo and fAPAR for level 2 are derived from the Copernicus Sentinel-2 mission.'}","[{'name': 'L2', 'index': 3, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 1, 'context': 'CATEGORIES_LIST'}, {'name': 'L2', 'index': 3, 'context': 'levels'}, {'name': 'C2', 'index': 1, 'context': 'categories'}]",WAPOR_2,RASTER,203,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L2_AETI_A'}]"
28,L2_AETI_M,Actual EvapoTranspiration and Interception (Monthly),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '100m (0.000992 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The monthly total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.\n\nUntil December 2019 the base input layers (NDVI, albedo, and fAPAR) for the Level 2 (100m) products were derived from the Proba-V satellite. Proba-V was decommissioned in June 2020. From January 2020 onwards the base input layers of NDVI, albedo and fAPAR for level 2 are derived from the Copernicus Sentinel-2 mission.'}","[{'name': 'L2', 'index': 4, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'L2', 'index': 4, 'context': 'levels'}, {'name': 'C2', 'index': 2, 'context': 'categories'}]",WAPOR_2,RASTER,204,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L2_AETI_M'}]"
29,L2_AETI_D,Actual EvapoTranspiration and Interception (Dekadal),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the average daily ETIa in a given dekad.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '100m (0.000992 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'The calculation of the ETIa is based on the ETLook model described in Bastiaanssen et al. (2012). See the methodology of the three components (E, T and I) for further information.\n\nUntil December 2019 the base input layers (NDVI, albedo, and fAPAR) for the Level 2 (100m) products were derived from the Proba-V satellite. Proba-V was decommissioned in June 2020. From January 2020 onwards the base input layers of NDVI, albedo and fAPAR for level 2 are derived from the Copernicus Sentinel-2 mission.'}","[{'name': 'L2', 'index': 5, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 3, 'context': 'CATEGORIES_LIST'}, {'name': 'L2', 'index': 5, 'context': 'levels'}, {'name': 'C2', 'index': 3, 'context': 'categories'}]",WAPOR_2,RASTER,205,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L2_AETI_D'}]"
