date,LST
2000-02-19,
2000-02-27,317.88
2000-03-06,318.48
2000-03-14,320.96
2000-03-22,320.5
2000-03-30,318.28000000000003
2000-04-07,323.12
2000-04-15,321.94
2000-04-23,320.74
2000-05-01,317.56
2000-05-09,322.8
2000-05-17,323.46
2000-05-25,321.78000000000003
2000-06-02,321.5
2000-06-10,318.64
2000-06-18,317.84000000000003
2000-06-26,312.36
2000-07-04,309.98
2000-07-12,306.18
2000-07-20,308.08
2000-07-28,308.46
2000-08-05,
2000-08-13,300.98
2000-08-21,301.14
2000-08-29,306.44
2000-09-06,309.22
2000-09-14,312.68
2000-09-22,317.98
2000-09-30,317.0
2000-10-08,314.98
2000-10-16,313.56
2000-11-01,315.84000000000003
2000-11-09,312.52
2000-11-17,312.68
2000-11-25,315.56
2000-12-03,315.18
2000-12-11,311.0
2000-12-19,312.88
2000-12-27,314.84000000000003
2001-01-02,311.6
2001-01-10,312.0
2001-01-18,313.6
2001-01-26,311.86
2001-02-03,313.90000000000003
2001-02-11,314.94
2001-02-19,316.04
2001-02-27,316.6
2001-03-07,315.88
2001-03-15,313.92
2001-03-23,
2001-03-31,316.90000000000003
2001-04-08,317.5
2001-04-16,323.54
2001-04-24,323.14
2001-05-02,321.84000000000003
2001-05-10,322.98
2001-05-18,321.84000000000003
2001-05-26,321.92
2001-06-03,320.42
2001-06-11,318.90000000000003
2001-06-27,
2001-07-05,319.54
2001-07-13,321.24
2001-07-21,311.14
2001-07-29,303.12
2001-08-06,305.90000000000003
2001-08-14,304.26
2001-08-22,305.58
2001-08-30,313.08
2001-09-07,312.0
2001-09-15,318.18
2001-09-23,320.66
2001-10-01,321.62
2001-10-09,323.26
2001-10-17,322.02
2001-10-25,319.90000000000003
2001-11-02,321.6
2001-11-10,317.68
2001-11-18,316.06
2001-11-26,316.48
2001-12-04,317.6
2001-12-12,317.1
2001-12-20,313.88
2001-12-28,310.92
2002-01-02,302.14
2002-01-10,307.6
2002-01-18,310.68
2002-01-26,315.64
2002-02-03,313.44
2002-02-11,314.0
2002-02-19,315.8
2002-02-27,320.46
2002-03-07,317.34000000000003
2002-03-15,318.7
2002-03-23,315.84000000000003
2002-03-31,320.16
2002-04-08,323.78000000000003
2002-04-16,316.90000000000003
2002-04-24,323.08
2002-05-02,324.54
2002-05-10,327.86
2002-05-18,323.66
2002-05-26,325.8
2002-06-03,323.8
2002-06-11,315.90000000000003
2002-06-19,321.68
2002-06-27,319.90000000000003
2002-07-05,316.06
2002-07-13,309.32
2002-07-21,321.52
2002-07-29,308.26
2002-08-06,307.1
2002-08-14,303.14
2002-08-22,308.24
2002-08-30,311.8
2002-09-07,321.02
2002-09-15,321.04
2002-09-23,322.6
2002-10-01,321.92
2002-10-09,326.68
2002-10-17,323.06
2002-10-25,320.48
2002-11-02,318.78000000000003
2002-11-10,321.52
2002-11-18,318.52
2002-11-26,317.42
2002-12-04,314.1
2002-12-12,314.46
2002-12-20,
2002-12-28,306.62
2003-01-02,309.12
2003-01-10,313.58
2003-01-18,314.7
2003-01-26,315.1
2003-02-03,316.08
2003-02-11,314.5
2003-02-19,320.3
2003-02-27,315.40000000000003
2003-03-07,322.86
2003-03-15,320.1
2003-03-23,321.62
2003-03-31,326.64
2003-04-08,322.08
2003-04-16,318.12
2003-04-24,313.64
2003-05-02,320.22
2003-05-10,322.72
2003-05-18,322.32
2003-05-26,322.36
2003-06-03,319.32
2003-06-11,318.76
2003-06-19,316.18
2003-06-27,311.26
2003-07-05,307.02
2003-07-13,311.5
2003-07-21,313.36
2003-07-29,311.34000000000003
2003-08-06,310.72
2003-08-14,306.40000000000003
2003-08-22,308.24
2003-08-30,311.88
2003-09-07,310.68
2003-09-15,319.90000000000003
