,code,caption,description,additionalInfo,tags,workspaceCode,dataType,index,operation,hidden,links
0,L1_GBWP_A,Gross Biomass Water Productivity,"The annual Gross Biomass Water Productivity expresses the quantity of output (total biomass production) in relation to the total volume of water consumed in the year (actual evapotranspiration). By relating biomass production to total evapotranspiration (sum of soil evaporation, canopy transpiration and interception), this indicator provides insights on the impact of vegetation development on consumptive water use and thus on water balance in a given domain. When the focus is on monitoring performance of irrigated agriculture in relation to water consumption, it is more appropriate to use transpiration alone as a denominator, as a measure of water beneficially consumed by the plant. This latter indicator, for which we use the term \""net water productivity\"", provides useful information on how effectively vegetation (and particularly crops) uses water to develop its biomass (and thus yield).","{'format': 'Raster Dataset', 'unit': 'kg/m³ is the ratio of kg of dry matter per cubic meter of water transpired by vegetation in one hectare', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.001', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'The calculation of gross biomass water productivity (GBWP) is as follows: GBWP = TBP/ETIa Where TBP is annual Total Biomass Production in kg/ha and ETIa is annual Actual EvapoTranspiration and Interception in m³/ha.\n\nThe following data is used for calculating it:\n\n- Annual TBP\n\n- Annual ETIa'}","[{'name': 'L1', 'index': 1, 'context': 'LEVELS_LIST'}, {'name': 'WATER PRODUCTIVITY', 'index': 1, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 1, 'context': 'levels'}, {'name': 'C1', 'index': 1, 'context': 'categories'}]",WAPOR_2,RASTER,101,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_GBWP_A'}]"
1,L1_NBWP_A,Net Biomass Water Productivity,"The annual Net Biomass Water Productivity expresses the quantity of output (total biomass production) in relation to the volume of water beneficially consumed (by canopy transpiration) in the year, and thus net of soil evaporation. Contrary to gross water productivity, net water productivity is particularly useful in monitoring how effectively vegetation (and, more importantly, crops) uses water to develop biomass (and thus yield).","{'format': 'Raster Dataset', 'unit': 'kg/m³ is the ratio of kg of dry matter per cubic meter of water transpired by vegetation in one hectare', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.001', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'The calculation of Net Biomass Water Productivity (NBWP) is as follows: NBWP = TBP/Ta Where TBP is annual total biomass production in kgDM/ha and Ta is annual actual transpiration in m³/ha. Only areas with annual T of 100 mm or higher have been included in the computation.\n\nThe following data is used for calculating it:\n\n- Annual TBP\n\n- Annual Ta'}","[{'name': 'L1', 'index': 2, 'context': 'LEVELS_LIST'}, {'name': 'WATER PRODUCTIVITY', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 2, 'context': 'levels'}, {'name': 'C1', 'index': 2, 'context': 'categories'}]",WAPOR_2,RASTER,102,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_NBWP_A'}]"
2,L1_AETI_A,Actual EvapoTranspiration and Interception (Annual),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given year.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The annual total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L1', 'index': 3, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 1, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 3, 'context': 'levels'}, {'name': 'C2', 'index': 1, 'context': 'categories'}]",WAPOR_2,RASTER,103,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_A'}]"
3,L1_AETI_M,Actual EvapoTranspiration and Interception (Monthly),"The actual EvapoTranspiration and Interception (ETIa) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the ETIa in a given month.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Monthly', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See ETIa by dekad for further information. The monthy total is obtained by taking the ETIa in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each month.'}","[{'name': 'L1', 'index': 4, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 2, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 4, 'context': 'levels'}, {'name': 'C2', 'index': 2, 'context': 'categories'}]",WAPOR_2,RASTER,104,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_M'}]"
4,L1_AETI_D,Actual EvapoTranspiration and Interception (Dekadal),"The actual EvapoTranspiration and Interception (ETIa) (dekadal, in mm/day) is the sum of the soil evaporation (E), canopy transpiration (T), and evaporation from rainfall intercepted by leaves (I). The value of each pixel represents the average daily ETIa in a given dekad.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int16 (16bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'The calculation of the ETIa is based on the ETLook model described in Bastiaanssen et al. (2012). See the methodology of the three components (E, T and I) for further information.'}","[{'name': 'L1', 'index': 5, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 3, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 5, 'context': 'levels'}, {'name': 'C2', 'index': 3, 'context': 'categories'}]",WAPOR_2,RASTER,105,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_AETI_D'}]"
5,L1_T_A,Transpiration (Annual),The Transpiration (T) data component is the actual transpiration of the vegetation canopy. The value of each pixel represents the total annual transpiration for that specific year.,"{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See transpiration (T) by dekad for further information. The annual total is obtained by taking the T in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L1', 'index': 6, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 4, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 6, 'context': 'levels'}, {'name': 'C2', 'index': 4, 'context': 'categories'}]",WAPOR_2,RASTER,106,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_T_A'}]"
6,L1_E_A,Evaporation (Annual),The Evaporation (E) data component is the actual evaporation of the soil surface. The value of each pixel represents the total annual evaporation for that specific year.,"{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See evaporation (E) by dekad for further information. The annual total is obtained by taking the E in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L1', 'index': 7, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 5, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 7, 'context': 'levels'}, {'name': 'C2', 'index': 5, 'context': 'categories'}]",WAPOR_2,RASTER,107,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_E_A'}]"
7,L1_I_A,Interception (Annual),Interception is the process where rainfall is captured by the leaves. Part of this captured rainfall will evaporate again. The Interception (I) data component represents the evaporation of intercepted rainfall from the vegetation canopy. The value of each pixel represents the total annual interception for that specific year.,"{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Int32 (32bit Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': -9999, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Annual', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations. This implies that other temporal aggregations (monthly, seasonal, annual), and layers that depend on those, are updated as well. Practically this means that a final annual aggregation of the most recent full calendar year can only be produced after the end of February. Likewise, the final monthly aggregation of the most recent calendar months can only be produced 2 full months later.', 'methodology': 'See interception (I) by dekad for further information. The annual total is obtained by taking the I in mm/day, multiplying by the number of days in a dekad, and summing the dekads of each year.'}","[{'name': 'L1', 'index': 8, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 6, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 8, 'context': 'levels'}, {'name': 'C2', 'index': 6, 'context': 'categories'}]",WAPOR_2,RASTER,108,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_I_A'}]"
8,L1_T_D,Transpiration (Dekadal),"The transpiration (T) data component (dekadal, in mm/day) is the actual transpiration of the vegetation canopy. The value of each pixel represents the average daily actual transpiration for that specific dekad.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Byte (8bit Unsigned Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': 255, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'The calculation of the transpiration is based on the ETLook model described in Bastiaanssen et al. (2012). It uses the Penman-Monteith equation, adapted to remote sensing input data. The Penman-Monteith equation predicts the rate of total evaporation and transpiration using commonly measured meteorological data (solar radiation, air temperature, vapour content and wind speed). It has become the FAO standard for calculating the actual and reference evapotranspiration (see FAO Irrigation and Drainage paper 56, Allen et al. 1998).\n\nThe following data is used for calculating transpiration:\n\n- Daily: incoming solar radiation and weather data (temperature, humidity, wind speed and precipitation);\n\n- Dekadal: NDVI, surface albedo and soil moisture stress;\n\n- Seasonal: Land Cover;\n\n- Static: Digital Elevation Model.\n\nData component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/'}","[{'name': 'L1', 'index': 9, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 7, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 9, 'context': 'levels'}, {'name': 'C2', 'index': 7, 'context': 'categories'}]",WAPOR_2,RASTER,109,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_T_D'}]"
9,L1_E_D,Evaporation (Dekadal),"The Evaporation (E) data component (dekadal, in mm/day) is the actual evaporation of the soil surface. The value of each pixel represents the average daily actual evaporation for that specific dekad.","{'format': 'Raster Dataset', 'unit': 'mm', 'dataType': 'Byte (8bit Unsigned Integer)', 'conversionFactor': 'the pixel value in the downloaded data must be multiplied by 0.1', 'noDataValue': 255, 'spatialResolution': '250m (0.00223 degree)', 'spatialExtent': 'Africa and Near East', 'spatialReferenceSystem': 'EPSG:4326 - WGS84 - Geographic Coordinate System (lat/long)', 'temporalResolution': 'from January 2009 to present', 'temporalExtent': 'Dekadal (approximately every 10 days)', 'nearRealTime': 'New dekadal data layers are released approximately 5 days after the end of a dekad. A higher quality version of the same data layer is uploaded after 6 dekads have passed. This final version of the dekadal dataset has a higher quality because gap filling and interpolation processes, where needed, have been based on more data observations.', 'methodology': 'The calculation of the evaporation is based on the ETLook model described in Bastiaanssen et al. (2012). It uses the Penman-Monteith equation, adapted to remote sensing input data. The Penman-Monteith equation predicts the rate of total evaporation and transpiration using commonly measured meteorological data (solar radiation, air temperature, vapour content and wind speed). It has become the FAO standard for calculating the actual and reference evapotranspiration (see FAO Irrigation and Drainage paper 56, Allen et al. 1998). \n\nThe following data is used for calculating evaporation:\n\n- Daily: incoming solar radiation and weather data (temperature, humidity, wind speed and precipitation);\n\n- Dekadal: NDVI, surface albedo and soil moisture stress;\n\n- Seasonal: Land Cover;\n\n- Static: Digital Elevation Model.\n\nData component developed through collaboration with the FRAME Consortium. More information can be found at: http://www.fao.org/in-action/remote-sensing-for-water-productivity/en/'}","[{'name': 'L1', 'index': 10, 'context': 'LEVELS_LIST'}, {'name': 'WATER', 'index': 8, 'context': 'CATEGORIES_LIST'}, {'name': 'L1', 'index': 10, 'context': 'levels'}, {'name': 'C2', 'index': 8, 'context': 'categories'}]",WAPOR_2,RASTER,110,"{'pixelTimeSeries': True, 'areaStatsTimeSeries': True}",False,"[{'rel': 'self', 'href': 'https://io.apps.fao.org/gismgr/api/v1/catalog/workspaces/WAPOR_2/cubes/L1_E_D'}]"
